"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Armenia","ARM","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","388.849392715369","424.129786253128","450.881169266633","514.386340559442","503.414053711637","524.80281699092","589.475223691235","664.122363085937","800.108277233671","1045.08790451233","1450.45969393972","1934.0825670045","2836.28368825935","3669.31699372529","2672.25961311504","2850.68499142282","3100.3249214374","3291.40834310787","3551.64101415851","3675.97752201441","3288.58398376265","3245.41245528715","3630.47170294117","3859.70294048168","4216.37144632873","3811.23353136187","","",
"American Samoa","ASM","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","2679.49343852798","2828.03187421491","3247.87158962938","3942.54015447805","5330.87363498771","5785.31382910897","6190.98103869256","6364.67595557545","6724.80499777375","7419.53385287467","8153.29411346352","9679.79557023841","10202.5458153489","9340.02574042269","10007.0296933892","9080.78584178543","9037.90542309751","9243.30107425316","11459.8798390614","14162.460622966","14148.3570354602","14656.2614747347","14499.0277661563","14000.5974495589","14484.9648948207","16059.9327095073","17400.9706560586","18712.4136112988","17065.7132908628","16449.4701334946","17175.4142195575","15553.1155180656","16174.8101817649","18961.2052106473","24585.7596159116","26825.3660873735","28198.925075892","31285.8893481752","37709.1184677274","33354.110607683","40208.6970794743","48255.549596914","53382.5528096218","53834.8070093482","48664.3861871184","44267.5791280864","39055.2418288459","42000.8897012251","43990.137080988","42364.6508143675","40200.5791834479","","",
"Austria","AUT","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","1759.62508451791","2032.94855184519","2495.67144820273","3328.33123061663","3955.93330956703","4498.29023354243","4849.34178458554","5792.833170456","6949.159283361","8302.71720595072","9164.26985850794","7856.42369649773","7891.14308171828","8034.66303852512","7565.02847651489","7732.92777655868","11000.2534799282","13769.6765824837","14911.1724234795","14834.8348595024","18368.2466292703","18914.1835575162","21039.896226841","20261.5066863414","21540.7160473812","25374.997719334","25017.034729002","22304.4512052732","22803.4413745307","22384.2861491527","20326.2441359241","20177.3033430096","21806.6857474554","26647.3277676211","30493.3715560426","31807.6729803242","33986.7310385958","39061.2056908972","43481.248658368","39496.6248144407","38958.046927383","42609.943694087","40004.4681915049","41654.5422020451","42460.5501443412","35786.8300842672","37214.4415548555","38311.8452930536","41596.6133755971","40682.0381343084","38848.2014876238","","",
"Azerbaijan","AZE","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","452.745777711758","435.56923926368","391.570953355529","462.994064453432","574.714729974114","675.113881600179","763.368855681161","956.915598305492","1374.47195553947","2072.84529384231","3169.0775960064","3331.14893708963","3870.32197963119","4682.27114232738","5190.1024208569","5591.72890810391","6039.28902601888","4460.66327690633","3018.59952741949","3198.10574333415","3372.91141228844","3606.32436787049","3489.80508828885","","",
"Burundi","BDI","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","163.093995614721","167.14703343291","161.493249048497","177.039164989384","155.360406102618","178.562791990906","176.449562380198","157.977333984419","146.831023142603","148.102269599795","143.143299393353","147.886005584596","130.615094528763","116.401429472452","109.386581144084","99.0612727343329","78.1039519160763","96.3157800003228","83.4873313179243","88.1829435760669","96.9104763872693","86.2832390244136","72.2164517403632","47.5322762985195","65.1673781632475","83.6579779845622","100.661578526857","89.5862202516579","102.094254064826","111.663359475603","137.550531591671","143.661761778498","163.384327128497","169.158339624707","180.880528702109","207.60597681667","172.677634255877","167.603565603863","170.156631665485","160.905463511394","168.889034250145","","",
"Belgium","BEL","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","2400.10032267002","2678.58500148598","3333.23995719898","4282.17365511915","4995.98563186109","5843.26699586301","6355.60954298689","7320.97780432535","8927.2662254221","10214.5280951176","10837.0617514114","8882.79337575723","7759.72996439388","7344.16504325859","7082.0828653387","7366.50032618891","10267.8594936101","12871.0230128069","14014.1102975814","14140.2524100439","17600.228537973","18001.9287727816","19922.4910462933","19163.5340717146","21106.4234339653","24569.2313205187","23747.5238419699","21438.4678960653","21841.5164789747","21633.0309010166","19774.6232949655","19518.908125774","21121.4745133114","25782.0667206509","29742.8211973171","30753.8150992693","32320.3803729544","36943.5731714625","40271.5138284462","36699.1612769517","36269.0805029972","38183.8153217875","36994.1855758558","38719.1740799608","39498.7967846","33821.2161461813","34477.7992556511","36240.0579176753","39066.4355055749","38282.8562869328","36508.5647515969","","",
"Benin","BEN","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","96.2734491158983","116.408666576184","137.604405202579","148.717603709787","173.632345762157","174.560605317647","173.639729711286","213.696285196458","275.213599864339","315.905245132393","284.951256342758","256.399475136093","216.927810081278","197.350893341935","198.144387636861","244.705154118872","278.679704312088","281.597666454277","244.354098616254","310.972434437273","305.995261963336","236.690733676938","317.55312750914","196.435165565696","258.858549555401","272.799517246282","259.156428521326","275.887060916118","428.017558748409","401.580375035889","416.395393467652","472.4188455356","590.288532408786","666.212873033785","690.533423782963","716.998417583984","811.118465298264","944.928196064668","904.612360928997","856.743256984981","943.436077891529","964.652686482426","1069.75377349152","1108.82429864727","927.15323843788","935.039860560218","966.664013047304","1053.58730589717","1031.22082565935","1086.79087871315","","",
"Burkina Faso","BFA","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","263.025822604068","234.672783002979","224.715263747014","197.945837054755","175.08746626942","180.64053769249","230.349896708375","259.297125167035","278.392359827226","270.944394553524","312.936905345677","308.55185201167","321.990774743108","298.862254873379","170.613881692126","210.61638000484","225.003374661235","206.286485829136","228.787796724672","269.187840666807","233.754575003235","243.013755377682","265.292395822114","336.349093055323","373.429295046435","406.489756242985","419.948670984627","474.629173628304","566.819707283876","538.936117038872","538.393283837851","602.891829577897","631.164675594359","658.749572347901","656.082812773584","544.784949360501","576.147043590085","614.820637157541","678.421150288135","652.471788740418","681.313713486333","","",
